	simpson_e
MC1	0.15666718722803927
MC2	0.18664955963789323
MC3	0.11601616151791831
MC4	0.143491619212119
MC5	0.0626190908779877
MC6	0.11215728895510073
MC7	0.05439132359044315
MC8	0.11507767767404603
MD1	0.1508084106029201
MD2	0.15232335959941298
MD3	0.1328845440818728
MD4	0.16374053550832607
MD5	0.12699634321292605
MD6	0.15874571449511013
MD7	0.11738046532606895
MD8	0.148618940068803
