	shannon_entropy
MC1	6.454623814938947
MC2	5.524121170267652
MC3	5.283311999559791
MC4	5.42735981717407
MC5	4.292130981814128
MC6	5.965712865313565
MC7	4.745658339886221
MC8	6.427098675230319
MD1	5.151550996769265
MD2	5.104227547234216
MD3	5.0170865259318145
MD4	5.105878765872888
MD5	4.696372952637878
MD6	4.6857627023907
MD7	5.524543146296842
MD8	5.368619354312059
