	functools.partial(<function _simpsons_dominance at 0x7ff6350eb370>)
MC1	0.9767892454016509
MC2	0.9630508009902756
MC3	0.9447468669331353
MC4	0.9564434492110593
MC5	0.8599160463435445
MC6	0.9615687498535049
MC7	0.8892452695047003
MC8	0.9684007905802242
MD1	0.9515990517782742
MD2	0.9495001442159805
MD3	0.9429899268714802
MD4	0.949940793304303
MD5	0.9242861300402708
MD6	0.9388409451243691
MD7	0.955858522660769
MD8	0.9542270918815189
