# Constructed from biom file
#OTU ID	3b937762-9ed2-4c9d-a453-4ef1a7f81d1b	7e3f38da-d745-4610-b017-5862590ce006	ebc4e5d1-39a0-4d48-aa05-caf43b41958a
map01100	308.0	790.0	656.0
map01110	144.0	333.0	305.0
map01120	101.0	318.0	206.0
map01130	96.0	241.0	236.0
map02010	79.0	197.0	153.0
map01230	73.0	126.0	126.0
map01200	54.0	156.0	102.0
map00230	39.0	83.0	82.0
map02060	39.0	50.0	26.0
map02024	38.0	82.0	69.0
map02020	37.0	191.0	131.0
map00051	36.0	57.0	26.0
map03010	36.0	19.0	56.0
map00500	35.0	44.0	48.0
map00030	28.0	36.0	28.0
map00620	24.0	71.0	47.0
map00010	24.0	60.0	46.0
map00240	23.0	56.0	48.0
map00190	22.0	47.0	34.0
map00520	22.0	48.0	49.0
map03430	20.0	25.0	19.0
map00970	20.0	23.0	30.0
map00270	20.0	30.0	49.0
map00710	19.0	27.0	13.0
map00250	18.0	37.0	36.0
map02040	17.0	45.0	35.0
map00860	17.0	26.0	20.0
map00260	15.0	35.0	36.0
map03030	15.0	16.0	17.0
map00650	14.0	44.0	27.0
map00040	13.0	34.0	29.0
map00640	13.0	46.0	32.0
map00720	13.0	45.0	25.0
map01210	13.0	31.0	28.0
map00550	13.0	20.0	31.0
map03060	12.0	17.0	23.0
map00564	12.0	30.0	22.0
map00630	12.0	57.0	38.0
map01212	12.0	27.0	36.0
map00061	11.0	18.0	28.0
map00561	11.0	19.0	24.0
map03018	11.0	16.0	16.0
map00195	10.0	6.0	8.0
map03440	10.0	25.0	19.0
map01501	9.0	41.0	21.0
map00020	9.0	35.0	24.0
map00680	9.0	47.0	25.0
map00770	9.0	21.0	20.0
map00900	9.0	10.0	15.0
map04112	9.0	10.0	12.0
map01503	9.0	53.0	21.0
map03410	9.0	13.0	14.0
map00330	9.0	33.0	26.0
map00760	9.0	23.0	16.0
map00562	9.0	3.0	16.0
map03070	8.0	27.0	18.0
map00400	8.0	25.0	23.0
map00052	8.0	42.0	21.0
map00300	8.0	15.0	18.0
map00130	7.0	25.0	12.0
map03420	7.0	10.0	11.0
map00730	7.0	15.0	23.0
map00340	7.0	7.0	20.0
map00940	7.0	4.0	4.0
map00460	7.0	8.0	7.0
map00790	6.0	27.0	22.0
map00280	6.0	15.0	29.0
map00670	6.0	18.0	12.0
map00220	6.0	26.0	20.0
map00511	6.0	4.0	2.0
map00410	6.0	19.0	11.0
map05150	6.0	0.0	9.0
map05100	6.0	8.0	0.0
map05111	5.0	23.0	11.0
map00480	5.0	21.0	9.0
map00290	5.0	17.0	12.0
map04727	5.0	8.0	2.0
map04940	5.0	4.0	1.0
map02030	5.0	24.0	27.0
map00983	5.0	16.0	7.0
map00521	5.0	9.0	12.0
map00430	4.0	9.0	7.0
map00261	4.0	8.0	9.0
map02025	4.0	15.0	6.0
map00350	4.0	16.0	9.0
map05230	4.0	7.0	6.0
map05418	4.0	6.0	3.0
map04922	4.0	6.0	7.0
map00360	4.0	17.0	10.0
map04626	4.0	6.0	4.0
map00910	4.0	33.0	21.0
map01051	4.0	3.0	1.0
map01502	4.0	6.0	6.0
map00780	3.0	27.0	24.0
map03013	3.0	3.0	3.0
map00750	3.0	9.0	5.0
map00600	3.0	7.0	4.0
map04071	3.0	0.0	0.0
map01220	3.0	24.0	10.0
map00643	3.0	3.0	2.0
map05134	3.0	7.0	5.0
map00053	3.0	14.0	15.0
map04217	3.0	7.0	4.0
map03320	3.0	3.0	4.0
map04122	3.0	20.0	12.0
map00740	3.0	13.0	12.0
map00071	3.0	19.0	21.0
map00450	3.0	20.0	14.0
map00401	2.0	5.0	5.0
map00960	2.0	4.0	4.0
map00950	2.0	2.0	2.0
map04070	2.0	4.0	3.0
map00471	2.0	5.0	4.0
map04621	2.0	6.0	4.0
map00333	2.0	7.0	12.0
map04919	2.0	0.0	0.0
map00920	2.0	47.0	22.0
map00660	2.0	16.0	8.0
map05340	2.0	3.0	1.0
map05152	2.0	5.0	3.0
map04212	2.0	4.0	8.0
map00626	2.0	9.0	3.0
map00473	2.0	3.0	5.0
map00405	2.0	3.0	1.0
map00625	2.0	12.0	11.0
map05120	2.0	5.0	3.0
map00380	2.0	9.0	13.0
map00785	2.0	3.0	3.0
map00362	2.0	16.0	9.0
map00627	2.0	8.0	11.0
map00332	2.0	2.0	3.0
map04216	2.0	2.0	3.0
map04138	2.0	0.0	1.0
map00565	2.0	2.0	0.0
map00072	2.0	1.0	7.0
map00531	1.0	3.0	1.0
map00120	1.0	0.0	1.0
map00121	1.0	1.0	1.0
map05205	1.0	1.0	1.0
map03008	1.0	1.0	1.0
map05231	1.0	2.0	1.0
map04072	1.0	2.0	1.0
map01523	1.0	5.0	4.0
map04213	1.0	5.0	6.0
map01040	1.0	10.0	8.0
map00523	1.0	3.0	5.0
map00622	1.0	4.0	2.0
map00361	1.0	6.0	4.0
map04016	1.0	3.0	5.0
map01524	1.0	3.0	1.0
map04918	1.0	2.0	1.0
map00908	1.0	1.0	1.0
map02026	1.0	51.0	12.0
map04724	1.0	5.0	2.0
map01053	1.0	6.0	8.0
map00590	1.0	2.0	1.0
map05206	1.0	3.0	3.0
map00524	1.0	5.0	1.0
map03020	1.0	1.0	6.0
map04930	1.0	3.0	1.0
map04152	1.0	2.0	1.0
map04931	1.0	4.0	3.0
map00941	1.0	0.0	1.0
map05203	1.0	3.0	1.0
map04146	1.0	8.0	11.0
map05165	1.0	3.0	1.0
map04612	1.0	1.0	1.0
map00945	1.0	0.0	1.0
map04141	1.0	1.0	4.0
map04151	1.0	1.0	1.0
map04914	1.0	1.0	1.0
map04659	1.0	1.0	1.0
map04657	1.0	1.0	1.0
map04915	1.0	1.0	1.0
map00310	1.0	13.0	14.0
map05215	1.0	1.0	1.0
map05200	1.0	4.0	2.0
map05131	1.0	3.0	0.0
map00540	0.0	32.0	0.0
map05133	0.0	21.0	0.0
map05132	0.0	13.0	4.0
map00633	0.0	10.0	1.0
map00621	0.0	7.0	1.0
map00281	0.0	6.0	2.0
map00623	0.0	5.0	1.0
map00982	0.0	5.0	3.0
map00980	0.0	5.0	3.0
map04910	0.0	5.0	3.0
map00903	0.0	4.0	5.0
