id	total_length	no_contigs_0	no_contigs	longest_contig	n50	l50	n90	l90	no_unaligned_contigs	duplication_ratio	total_length_5000	aun	no_misassembled_contigs	na90	no_ns_per100_kbp	no_local_misassemblies	no_contigs_1000	largest_alignment	total_length_25000	total_aligned_length	no_mismatches_per100_kbp	no_contigs_5000	no_contigs_25000	no_unaligned_mis_contigs	no_misassemblies	misassembled_contigs_length	no_contigs_10000	la50	auna	no_scaffold_gap_loc_mis	reference_length	unaligned_length	no_contigs_50000	la90	na50	genome_fraction_percentage	no_indels_per100_kbp	total_length_10000	total_length_1000	total_length_0	total_length_50000	no_scaffold_gap_ext_mis
sample1	10050842	9997	9997	10884	1040	2753	570	8115	0 + 0 part	1.005	312877	1533.3	147	565	0.0	45	2970	10884	0	10034906	310.84	50	0	0	148	163086	1	2776	1521.5	0	37723649	0	0	8189	1031	29.259	11.11	10884	5246943	10050842	0	0
sample2	20130423	10200	10200	77570	2941	1363	770	6932	0 + 0 part	1.005	7143232	9861.4	112	763	0.0	72	5389	77570	2686275	20119061	128.08	582	64	0	113	284869	176	1373	9821.0	0	37723649	0	20	6991	2923	55.264	4.48	4394237	16769753	20130423	1190016	0
