	faith_pd
MC1	15.62272135108619
MC2	9.95862099342809
MC3	10.55595687323632
MC4	10.92522207887519
MC5	8.46756238467148
MC6	13.94189203886087
MC7	11.23001291349232
MC8	15.61327799757723
MD1	9.826003244168644
MD2	9.049031989730327
MD3	8.69931058253748
MD4	8.816249020350051
MD5	7.295582866957899
MD6	8.766550822283426
MD7	11.7881238905777
MD8	9.11160036561458
